$File,SMILES,Energy,Relative energy,cid,mol_charged,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,E,E_ang,E_ele,E_nb,E_oop,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8,ID
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,0.0,96,O=CCNC,243.77763,198.57941,45.198227,150.94496,92.832664,291.91171,66.441391,153.38118,225.47034,0.90240741,1.2875158,44.20076,0.65726358,36.789795,37.132648,0.00045508298,-15.767386,0,2.4393969,8.4442711,3.970999,0.34285313,0.81459242,0.18540761,0.61919123,0.3808088,1.1974509,0.27254918,0.16583277,0.15141487,0.93857789,215.34921,31.203051,193.41885,206.07652,1.7164367,1.6873561,0.72988081,0.6871348,81.0,108.50743,4.0068364,0.11152162,3.1628823,1.9594318,1.3068683,0.74880356,0.39358941,0.17512414,0.087363586,0.045762476,214.0,118.75,100.625,92.875,79.125,42.625,6.125,0.0,6.041523,6.5383482,2.5,0.5,0.70710677,1.118034,-1.5199168,-1.5109477,-1.505614,-7.8403993,-7.5830798,-7.4964523,1.139411,184.75,184.0,125.5,56.5,25.875,12.625,5.875,3.0,0.29316771,0.14266488,1.6104745,1.5539165,1.8110744,2.0137191,2.2621696,2.3923082,2.6808932,0.0,0.87684476,1.9724842,2.1969204,2.2516851,2.4237325,2.700979,3.0403571,3.0061774,1.107076,205.04463,227.0,513.625,289.625,160.5,68.5,29.5,13.25,5.875,3.0,328.875,105.625,35.0,12.0,3.625,0.625,0.0,0.0,EXT1
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,1.7271073e-11,188,O=CCNC,242.18817,197.32053,44.867638,149.61847,92.569687,290.06116,65.955429,152.45288,224.10574,0.90380216,1.2879087,44.189896,0.65808952,36.784992,37.126781,0.00078235992,-15.776919,0,2.4338055,8.4334049,3.9704359,0.34178925,0.8147406,0.18525942,0.61777782,0.38222218,1.1976687,0.27233136,0.16595596,0.1514961,0.93854594,215.36971,31.222023,193.42612,206.09126,1.7165184,1.6871248,0.72986186,0.68729573,80.875,108.19701,3.9489043,0.11397094,3.1641061,1.970372,1.31139,0.75269979,0.39537299,0.1724961,0.087036468,0.04540759,217.125,119.625,101.625,93.625,77.75,41.625,5.5,0.0,6.5383482,0.5,6.745369,0.5,0.5,1.0,-1.5086023,-1.5029582,-1.4935508,-7.9970613,-7.6290803,-7.5832362,1.1361209,184.375,185.875,124.875,56.375,26.0,12.0,5.625,2.625,0.29028291,0.13484646,1.6108904,1.5393795,1.7873957,1.9970266,2.2660632,2.4491141,2.68291,0.0,0.86807245,1.963287,2.2001886,2.2642994,2.3763323,2.7132523,3.0023911,3.029566,1.1106893,204.60268,227.25,515.375,290.75,160.375,68.5,29.5,12.625,5.625,2.625,331.0,104.875,35.5,12.125,3.5,0.625,0.0,0.0,EXT2
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,3.7704506e-11,150,O=CCNC,241.04141,196.26918,44.772232,149.63551,91.405914,288.51572,65.815178,151.49696,222.70053,0.90240741,1.2869762,44.16431,0.64847785,36.780884,37.12265,0.00071683613,-15.755791,0,2.4226274,8.4078188,3.9698367,0.34176558,0.814255,0.18574497,0.62078756,0.37921247,1.1969548,0.27304512,0.16585182,0.15140422,0.93855739,215.36115,31.203047,193.42824,206.091,1.7164843,1.6872594,0.7299397,0.68713486,81.0,108.62965,3.9765198,0.11604285,3.164351,1.9691778,1.310179,0.7512365,0.39354128,0.17594942,0.087608308,0.045979969,217.875,119.875,102.125,93.375,77.625,41.0,5.375,0.0,0.5,6.5383482,6.745369,0.5,0.5,1.0,-1.5166638,-1.5028498,-1.5016695,-8.0814867,-7.766386,-7.6002383,1.1355166,183.875,186.375,126.25,56.625,25.5,12.5,5.875,2.625,0.28396574,0.14056225,1.6046363,1.5704817,1.8072456,2.0360699,2.3035438,2.4927952,2.731087,0.0,0.87231719,1.9846256,2.2081833,2.2546372,2.3927925,2.6911192,3.0160692,3.0138545,1.1114842,204.56882,227.375,514.625,291.625,161.625,68.5,29.0,13.125,5.875,2.625,330.75,105.25,35.375,11.875,3.5,0.625,0.0,0.0,EXT3
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,7.0910389e-11,101,O=CCNC,242.29698,197.70154,44.595448,149.90089,92.396095,290.62125,65.555305,153.10609,225.06595,0.90240741,1.2875936,44.181797,0.65311718,36.797585,37.141407,0.00066156988,-15.761014,0,2.4159701,8.4253082,3.9706411,0.34382483,0.81594718,0.18405284,0.61866593,0.38133407,1.1994424,0.27055767,0.16590695,0.15145004,0.93856132,215.31937,31.205692,193.38692,206.04611,1.7163178,1.6871481,0.72995287,0.68720376,81.0,108.91068,4.0398326,0.11116373,3.1629264,1.9642001,1.3093246,0.74977404,0.39358863,0.17473997,0.087034948,0.045184944,215.0,118.125,100.25,92.5,79.125,42.625,6.0,0.0,6.041523,6.5383482,2.5,0.70710677,0.5,0.5,-1.5113198,-1.5064706,-1.5039209,-7.7708206,-7.5088158,-7.4160833,1.1392398,185.25,184.0,125.625,56.75,25.5,12.375,5.75,3.0,0.29177058,0.14054054,1.605363,1.559536,1.8317136,2.036741,2.2801445,2.4215729,2.6837008,0.0,0.87207568,1.9723788,2.1885335,2.2474341,2.4396737,2.7141831,3.0190661,2.9962554,1.107039,204.93857,226.875,514.125,289.25,160.875,68.625,29.25,13.0,5.75,3.0,328.875,105.25,35.25,11.875,3.75,0.625,0.0,0.0,EXT4
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,1.6610668e-10,0,O=CCNC,242.48335,197.04472,45.438637,149.15604,93.327324,289.65573,66.794792,151.60608,222.86095,0.90240741,1.2875124,44.209675,0.65877247,36.784985,37.126842,0.00093149056,-15.769993,0,2.4528773,8.453186,3.9702513,0.34185994,0.81261134,0.18738867,0.61511862,0.38488138,1.1945386,0.27546135,0.16586737,0.15148948,0.93855149,215.32585,31.214319,193.38799,206.04941,1.7163438,1.6871866,0.7300303,0.68713742,81.0,107.83901,3.8679695,0.11399759,3.1585321,1.9842354,1.3100585,0.75250793,0.39745009,0.16726108,0.087395437,0.046071865,216.375,118.625,103.0,94.25,81.75,45.75,6.5,0.0,0.5,6.5383482,6.745369,0.5,1.0,0.5,-1.5292027,-1.5135362,-1.4992332,-8.0345249,-7.9129472,-7.4987397,1.1323136,187.125,183.625,126.25,57.5,24.875,11.5,5.875,2.375,0.28519419,0.1259947,1.622458,1.5808908,1.822724,2.0632648,2.3220742,2.4829161,2.4137077,0.0,0.84897357,1.9560461,2.2009103,2.2607441,2.2889345,2.7869148,3.024271,3.0435426,1.1178869,205.18623,229.375,515.375,290.75,162.125,68.75,29.375,11.875,5.875,2.375,328.25,107.125,35.875,11.25,4.5,0.375,0.0,0.0,EXT5
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,2.4969937e-10,57,O=CCNC,244.38234,199.66907,44.713272,151.07292,93.30941,293.51352,65.728508,154.9558,227.78502,0.90240741,1.2872937,44.169662,0.66055059,36.786182,37.129585,0.00074039225,-15.761397,0,2.4082139,8.4131718,3.9705727,0.34340191,0.81703556,0.18296443,0.61818266,0.38181731,1.2010423,0.2689577,0.16586567,0.15147413,0.93854856,215.34103,31.213629,193.40271,206.06573,1.7164042,1.6872716,0.72998279,0.68716854,81.0,110.15819,3.9527047,0.1141468,3.1635227,1.9694502,1.3109326,0.75253987,0.39524591,0.17254211,0.087062865,0.045499723,217.125,119.625,101.75,93.625,77.875,41.5,5.5,0.0,6.5383482,0.5,6.745369,0.5,0.5,1.0,-1.5088462,-1.5027666,-1.4938533,-8.0041275,-7.6323352,-7.5936604,1.1357147,184.125,185.375,124.625,56.5,25.75,12.0,5.625,2.625,0.2874693,0.13484646,1.6123807,1.5483686,1.7912353,2.0067174,2.2701175,2.4635246,2.6829891,0.0,0.86724609,1.9653367,2.1960928,2.2646599,2.3731418,2.7140124,3.0032334,3.030375,1.1112903,204.60449,227.375,515.0,290.5,160.25,68.5,29.25,12.625,5.625,2.625,330.875,105.125,35.625,12.0,3.5,0.625,0.0,0.0,EXT6
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,3.0562797e-10,130,O=CCNC,241.40387,196.78705,44.616817,149.01083,92.393044,289.27698,65.586723,152.17024,223.69025,0.90380216,1.288057,44.175957,0.65746599,36.787289,37.128784,0.0006512301,-15.775792,0,2.4185345,8.419466,3.9705195,0.34149867,0.81517768,0.18482229,0.61726779,0.38273224,1.1983112,0.27168879,0.16584554,0.15142356,0.93853986,215.39807,31.212357,193.45763,206.12616,1.7166315,1.6872753,0.72996169,0.68712831,80.875,108.3403,3.866051,0.1140685,3.1584249,1.9846004,1.3090903,0.75236607,0.39763528,0.16719541,0.08737576,0.04612302,216.625,119.0,103.125,94.25,81.875,45.5,6.5,0.0,0.5,6.5383482,6.745369,0.5,1.0,0.5,-1.5290879,-1.5134625,-1.4984632,-8.041276,-7.9140806,-7.4911041,1.1312227,187.5,183.375,126.25,57.625,24.875,11.5,5.75,2.375,0.28484848,0.1259947,1.6209614,1.5793805,1.8213694,2.0577033,2.3219881,2.4894452,2.4131739,0.0,0.85067666,1.9541968,2.1945174,2.2688,2.288748,2.7864316,3.0275338,3.0429862,1.1195743,205.21191,229.75,515.0,290.375,162.125,68.875,29.375,11.875,5.75,2.375,327.5,107.0,35.875,11.25,4.5,0.375,0.0,0.0,EXT7
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,3.3857805e-10,74,O=CCNC,243.45619,198.73195,44.724236,150.23878,93.217407,292.13596,65.744629,154.00772,226.39134,0.90240741,1.2877119,44.156246,0.64262295,36.781055,37.121521,0.00051939837,-15.766114,0,2.4204445,8.3997564,3.9711382,0.34046564,0.81629449,0.18370548,0.61710811,0.38289192,1.199953,0.27004707,0.16591117,0.15145096,0.93857574,215.40033,31.217388,193.4612,206.12209,1.7166405,1.687224,0.73005009,0.6872434,81.0,109.68144,3.9790795,0.11590651,3.1640849,1.969306,1.310288,0.7512477,0.39348683,0.1759257,0.087577105,0.045949776,218.0,119.875,102.0,93.25,77.625,41.0,5.375,0.0,0.5,6.5383482,6.745369,0.5,0.5,1.0,-1.5166837,-1.5029727,-1.5016617,-8.0804653,-7.7674904,-7.5984197,1.1360344,184.25,186.5,126.375,56.625,25.5,12.5,5.875,2.625,0.28431374,0.14075068,1.6021888,1.5703026,1.8111986,2.0398397,2.3034012,2.4927859,2.731086,0.0,0.87045354,1.9844422,2.208349,2.2548685,2.393075,2.6914241,3.0164108,3.0141881,1.1107739,204.58708,227.25,514.75,291.75,161.625,68.5,29.0,13.125,5.875,2.625,330.5,105.25,35.25,11.875,3.5,0.625,0.0,0.0,EXT8
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.0264236e-10,13,O=CCNC,243.06152,197.64821,45.413307,150.84454,92.216988,290.54288,66.757561,152.23491,223.78531,0.90240741,1.2875229,44.160103,0.64711159,36.789017,37.131802,0.00044983704,-15.759664,0,2.4092455,8.4036121,3.9714932,0.34278631,0.81316125,0.18683873,0.62060231,0.37939772,1.1953471,0.27465293,0.16586362,0.15136108,0.93864578,215.35197,31.192154,193.43404,206.07777,1.7164478,1.6872438,0.72981632,0.68715292,81.0,108.91981,3.8591957,0.11459547,3.1584225,1.9821132,1.3118241,0.75182289,0.39811558,0.164694,0.087648287,0.045518517,216.5,119.375,103.625,94.5,81.125,45.625,6.25,0.0,0.5,0.5,1.0,0.5,1.0,0.5,-1.5204451,-1.5036317,-1.493286,-8.0024891,-7.7572265,-7.3164997,1.1297054,187.5,184.25,126.375,56.75,25.25,11.625,6.125,2.5,0.28588662,0.12566137,1.6237375,1.5698653,1.7909404,2.0448213,2.3259103,2.5002916,2.4052532,0.0,0.84604764,1.953732,2.190793,2.2566285,2.2969041,2.8356738,3.050735,3.0219266,1.1212814,205.011,229.875,515.125,291.0,162.375,68.0,29.625,11.875,6.125,2.5,327.625,106.75,36.0,11.25,4.375,0.25,0.0,0.0,EXT9
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.1816062e-10,79,O=CCNC,241.94417,196.6983,45.245872,149.68469,92.259476,289.14648,66.511436,151.45242,222.63506,0.90101695,1.2875464,44.19091,0.65901989,36.778084,37.120296,0.00071607786,-15.768792,0,2.4407289,8.4344215,3.9701495,0.34221464,0.81299043,0.18700956,0.61867452,0.38132548,1.1950959,0.27490404,0.16581444,0.15141855,0.93854362,215.37828,31.208477,193.44073,206.10735,1.7165526,1.6873188,0.73001963,0.68708163,81.125,108.37602,3.8679695,0.11397682,3.1585307,1.9843959,1.3091961,0.75242996,0.39750621,0.16726755,0.08741124,0.046094939,216.5,118.875,103.0,94.375,81.5,45.75,6.5,0.0,0.5,6.5383482,6.745369,0.5,1.0,0.5,-1.5290949,-1.5135016,-1.4988933,-8.0356464,-7.9135003,-7.4972939,1.1315379,187.125,183.875,126.125,57.625,24.875,11.5,5.875,2.375,0.28519419,0.12582782,1.6216761,1.5809571,1.8223437,2.0562868,2.3279004,2.4822514,2.412981,0.0,0.85027164,1.9540135,2.2012243,2.2612646,2.2891831,2.7869351,3.0242126,3.0434995,1.1190594,205.19464,229.625,515.125,290.875,162.0,68.875,29.375,11.875,5.875,2.375,328.0,107.0,35.875,11.25,4.5,0.375,0.0,0.0,EXT10
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.5393422e-10,104,O=CCNC,242.24365,197.26376,44.979897,150.67787,91.565781,289.97772,66.120445,152.28387,223.85728,0.90240741,1.2881949,44.211571,0.64932203,36.798584,37.142696,0.00053935708,-15.773712,0,2.4479165,8.4550819,3.9710975,0.34411213,0.81431961,0.18568037,0.62200958,0.37799042,1.1970499,0.27295017,0.16586052,0.15140322,0.93851471,215.34166,31.200668,193.40598,206.07666,1.7164067,1.6872141,0.72979468,0.68713444,81.0,109.24454,4.0473552,0.11087308,3.1630416,1.9652199,1.3092415,0.74921495,0.39363226,0.17477787,0.087079875,0.045151744,215.0,117.625,100.0,92.5,79.375,42.5,6.125,0.0,6.041523,6.5383482,2.5,0.70710677,0.5,0.5,-1.5106848,-1.5070372,-1.504546,-7.75845,-7.5029054,-7.4086118,1.1388333,186.25,184.375,125.75,56.5,25.25,12.75,5.75,3.0,0.29124999,0.14324324,1.6108558,1.5746756,1.8370198,2.035778,2.2718008,2.4302597,2.6752343,0.0,0.87098819,1.9722211,2.1915121,2.2441368,2.4394195,2.7013047,3.0181694,2.9953516,1.1076375,204.94069,227.0,514.625,290.0,161.0,68.375,29.125,13.25,5.75,3.0,328.375,105.625,35.25,11.875,3.875,0.5,0.0,0.0,EXT11
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.586882e-10,76,O=CCNC,242.52995,197.54607,44.983887,150.08043,92.449524,290.39273,66.126312,152.56218,224.2664,0.90380216,1.2872386,44.186981,0.65982395,36.78413,37.127522,0.00075353315,-15.764875,0,2.4288208,8.4304895,3.9700613,0.34338894,0.81452233,0.18547764,0.61881196,0.38118806,1.1973479,0.27265215,0.16591054,0.15148205,0.93851697,215.30957,31.211052,193.37013,206.03796,1.7162788,1.6870706,0.72995889,0.68717963,80.875,109.63483,3.9776075,0.11579428,3.1647239,1.9690795,1.3100679,0.75116551,0.39343184,0.17589909,0.087614872,0.046006437,218.0,119.625,101.875,93.25,77.625,41.125,5.375,0.0,0.5,6.5383482,6.745369,0.5,0.5,1.0,-1.516825,-1.5029933,-1.5013226,-8.0851793,-7.7669559,-7.6071129,1.1354842,184.125,186.125,126.375,56.375,25.5,12.5,5.875,2.625,0.28466257,0.14075068,1.6040242,1.5740155,1.8090974,2.0337579,2.3007607,2.4939783,2.7319148,0.0,0.87204003,1.9856962,2.207701,2.2522216,2.3924131,2.6907597,3.0158105,3.0135751,1.1115159,204.56299,227.375,514.875,291.625,161.625,68.25,29.0,13.125,5.875,2.625,330.75,105.5,35.25,11.875,3.5,0.625,0.0,0.0,EXT12
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.5950799e-10,156,O=CCNC,242.27927,198.24336,44.035904,149.77739,92.501869,291.41776,64.73278,154.20746,226.68497,0.90380216,1.2878932,44.246506,0.65507191,36.793304,37.135239,0.00093555474,-15.77175,0,2.4849477,8.490016,3.9703116,0.34193689,0.81824321,0.18175679,0.61820143,0.38179854,1.2028176,0.2671825,0.16590245,0.15148127,0.93854553,215.31718,31.21158,193.38028,206.04251,1.7163092,1.6872336,0.73008424,0.68722916,80.875,109.37946,3.8989716,0.11399101,3.1653883,1.9724886,1.3075939,0.74989259,0.39689791,0.17007165,0.087120943,0.046676382,217.0,118.5,103.75,93.875,80.75,45.625,6.125,0.0,0.5,6.745369,6.5383482,0.5,0.5,0.70710677,-1.5311512,-1.5085654,-1.4977052,-7.7968006,-7.7003751,-7.4507656,1.1328132,188.75,184.75,125.5,55.5,25.5,12.375,5.75,2.875,0.28674698,0.13448735,1.6262276,1.5541919,1.7460473,1.997072,2.2501099,2.4445329,2.5763779,0.0,0.84414929,1.9792585,2.2175534,2.277786,2.3289371,2.7593422,3.0314457,3.0404706,1.1163779,204.90372,228.75,516.375,290.25,161.25,67.625,29.75,12.625,5.75,2.875,327.625,105.5,35.75,12.125,4.25,0.25,0.0,0.0,EXT13
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.8127813e-10,28,O=CCNC,240.43071,196.02663,44.404083,150.35123,90.079491,288.15915,65.274002,151.62254,222.88513,0.90240741,1.2882295,44.214127,0.65013266,36.79398,37.136436,0.00060263975,-15.773077,0,2.4553542,8.4576368,3.971601,0.34245744,0.81531441,0.18468557,0.62534118,0.37465882,1.1985122,0.2714878,0.16595195,0.15148687,0.93848294,215.34698,31.217907,193.39941,206.07664,1.7164279,1.6871787,0.73000425,0.68730938,81.0,108.29871,3.8633804,0.11392351,3.1576593,1.9796546,1.3116159,0.75128943,0.3979843,0.16572346,0.087571211,0.045624465,216.75,119.375,103.0,94.0,81.0,45.75,6.25,0.0,0.5,0.5,1.0,0.5,1.0,0.5,-1.5218172,-1.5050874,-1.494391,-8.0180178,-7.7858095,-7.3389568,1.1302973,188.0,183.75,126.0,57.125,25.25,11.75,6.0,2.5,0.28762135,0.12765957,1.6243494,1.5665321,1.8013616,2.0539558,2.328814,2.4870753,2.4031713,0.0,0.84493071,1.9568214,2.1936371,2.2729223,2.2981761,2.7781403,3.0582395,3.0249681,1.1204909,205.04405,229.75,515.5,290.125,161.875,68.5,29.625,12.0,6.0,2.5,327.5,106.375,35.875,11.375,4.375,0.25,0.0,0.0,EXT14
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,4.8404347e-10,95,O=CCNC,240.88379,196.26483,44.618954,148.34808,92.535713,288.50931,65.589859,151.64589,222.91945,0.90101695,1.2870253,44.174816,0.65998048,36.774441,37.11623,0.00069823844,-15.761195,0,2.4278769,8.4183264,3.970031,0.34178862,0.8147698,0.1852302,0.61584914,0.38415083,1.1977116,0.27228838,0.16586855,0.15149626,0.93861121,215.32664,31.214838,193.39485,206.04361,1.7163469,1.6871916,0.73003769,0.6871419,81.125,109.13046,3.864351,0.11432802,3.1568108,1.9840128,1.3098091,0.7526238,0.39724329,0.16733997,0.087403037,0.046053402,216.625,118.625,103.25,94.375,81.75,45.75,6.5,0.0,0.5,6.5383482,6.745369,0.5,1.0,0.5,-1.5290614,-1.5137492,-1.5003982,-8.0278368,-7.9147921,-7.5109811,1.1315484,186.75,183.125,125.875,57.625,24.875,11.5,5.875,2.375,0.28450364,0.12582782,1.615415,1.5804563,1.8201246,2.0631204,2.3251576,2.4833534,2.4142754,0.0,0.84721094,1.9567639,2.2088149,2.2548113,2.2892363,2.7875636,3.025027,3.0442755,1.1190491,205.19655,229.625,515.25,290.375,161.875,68.875,29.375,11.875,5.875,2.375,328.5,107.25,36.0,11.25,4.5,0.375,0.0,0.0,EXT15
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,5.0172089e-10,105,O=CCNC,241.58052,197.08278,44.497738,148.96165,92.618866,289.7117,65.411674,152.58504,224.30002,0.90240741,1.2878959,44.198116,0.65148318,36.799866,37.143005,0.00076030433,-15.768376,0,2.4320796,8.4416265,3.9707875,0.34314111,0.81580579,0.18419424,0.61661285,0.38338715,1.1992345,0.27076551,0.16589096,0.15139854,0.93858439,215.32782,31.196732,193.4019,206.05702,1.7163515,1.6871145,0.72986412,0.68715692,81.0,109.28936,3.9569955,0.11410875,3.1639521,1.9703349,1.3115311,0.75272965,0.39540905,0.17257208,0.087074392,0.045460235,217.125,119.75,101.75,93.625,77.875,41.5,5.5,0.0,6.5383482,0.5,6.745369,0.5,0.5,1.0,-1.5088446,-1.5029309,-1.4938148,-7.9997845,-7.6298885,-7.5875211,1.136041,184.25,185.5,125.0,56.5,25.875,12.0,5.625,2.625,0.28869778,0.13484646,1.6103525,1.5423239,1.7907231,2.0061972,2.2695866,2.4488876,2.6825995,0.0,0.86643034,1.9639868,2.1979976,2.2583959,2.3789845,2.7139878,3.0031493,3.0303075,1.1107675,204.58827,227.25,515.125,290.625,160.625,68.5,29.375,12.625,5.625,2.625,330.875,105.125,35.625,12.0,3.5,0.625,0.0,0.0,EXT16
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,5.3707083e-10,1,O=CCNC,238.56473,193.84499,44.719734,147.79901,90.765709,284.95215,65.738007,149.12526,219.21413,0.90240741,1.2876952,44.15258,0.65718919,36.789631,37.134933,0.00048443757,-15.762495,0,2.388586,8.3960905,3.9713879,0.34530371,0.81254673,0.18745326,0.61953425,0.38046575,1.1944437,0.2755563,0.16590658,0.15145431,0.93855733,215.3385,31.209343,193.40326,206.06441,1.7163941,1.6871529,0.72992641,0.6872049,81.0,109.5183,3.9765198,0.11605087,3.1641386,1.9692049,1.3101695,0.75118923,0.39348999,0.1759239,0.087598369,0.045968436,217.75,119.875,102.125,93.375,77.625,41.125,5.375,0.0,0.5,6.5383482,6.745369,0.5,0.5,1.0,-1.5165133,-1.5027063,-1.5016407,-8.080039,-7.7628484,-7.6023865,1.1355863,183.875,186.625,126.375,56.625,25.5,12.5,5.875,2.625,0.28396574,0.14056225,1.6068416,1.5706606,1.807402,2.0362353,2.3037114,2.4933982,2.7313678,0.0,0.87211353,1.9844465,2.2079515,2.254406,2.3925591,2.690891,3.0158622,3.013644,1.1114161,204.58136,227.375,514.625,291.875,161.625,68.5,29.0,13.125,5.875,2.625,330.75,105.25,35.25,11.875,3.5,0.625,0.0,0.0,EXT17
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CCNC,3.6981618,5.4808824e-10,180,O=CCNC,243.09325,198.41763,44.67561,150.53351,92.559746,291.67392,65.673141,153.74203,226.00078,0.90240741,1.2881389,44.243755,0.66034335,36.79034,37.13221,0.00064778706,-15.772789,0,2.4793787,8.4872646,3.9711761,0.34186965,0.81622028,0.18377972,0.61924183,0.3807582,1.1998438,0.27015617,0.16589929,0.1514132,0.93852538,215.3409,31.202307,193.40558,206.0739,1.7164036,1.6873211,0.72994888,0.6872583,81.0,109.13711,3.8607199,0.11420669,3.1578276,1.9816971,1.3116797,0.75140458,0.39800087,0.1657394,0.087588646,0.045595851,216.875,119.5,103.25,94.25,80.875,45.625,6.25,0.0,0.5,0.5,1.0,0.5,1.0,0.5,-1.5215272,-1.5046993,-1.4942839,-8.0147123,-7.7785006,-7.3316135,1.1301843,188.0,183.875,126.125,57.0,25.25,11.75,6.0,2.5,0.28692493,0.12732096,1.6253257,1.5669129,1.7956294,2.0469048,2.330395,2.49861,2.4037244,0.0,0.84544605,1.9566605,2.1908965,2.2688022,2.2973611,2.7773359,3.0574503,3.0241854,1.120603,205.02354,229.75,515.625,290.375,162.125,68.375,29.625,12.0,6.0,2.5,327.625,106.5,36.0,11.375,4.375,0.25,0.0,0.0,EXT18
