$File,SMILES,Energy,Relative energy,cid,pseq,%C,apol,arorings,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nNO,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,RBC,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ID
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,4.5393422e-10,104,11,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT11
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,4.586882e-10,76,12,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT12
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,4.5950799e-10,156,13,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT13
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,4.8127813e-10,28,14,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT14
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,4.8404347e-10,95,15,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT15
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,5.0172089e-10,105,16,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT16
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,5.3707083e-10,1,17,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT17
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,5.4808824e-10,180,18,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT18
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,5.4997917e-10,51,19,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT19
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,5.7373706e-10,44,20,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT20
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,6.2797456e-10,35,21,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT21
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/monomer.sdf,O=CC[N+]C,3.6981618,6.2848926e-10,88,22,65.217545,12.516344,0,1,1,0,0,1,0,0,1,13,0,1,5,2,19.350828,1.4885253,0,0,3,0,0,8,0,1,2,1,0,0,2.2448452,-2.4939394,-0.14903848,0.34677568,2.4937637,-3.3835981,-0.062116772,0.2142,2.0722184,-2.3214219,0.036070142,0.1057,2.6549807,9.7036562,2,0.5,0,12,1,4,2,2,0.5,11,0,4.1213202,3.2700555,2.284457,2.4142137,2.4142137,1.6295491,0.40824831,0.5,0,0,0.68276352,4,1,-0.86682469,-0.20461364,0.18677567,1.9386679,-2.2473717,-0.18404733,0.054200001,1.653578,-0.63590944,-0.099749386,-0.054299999,2.0589228,1.4707795,20.459984,7.775116,-0.56941116,-4.1399198,2.3094685,0,0.68990344,2.0527337,0.65217549,7.2730041,14.0,1.9080647,0.25482562,5.0,4.0,4.0,4.0214376,2.997,2.67325,2.4104497,2,2,1,0,-0.34599999,0.63436002,2.1200032,1,1,0,1,0,2,0,0,0,1.6407051,-0.64070511,0.21135771,0.53948909,0.0,44.56562,17.45771,18.504883,0.0,0.0,17.238026,0.0,0.0,0,0.0,0.0,13.566921,0.0,0.72330844,0.12185876,0.12185876,0.27669156,0.87814122,0.15483281,80.528214,13.566921,13.566921,30.804947,97.766243,17.238026,0.5,1.0,0,0,0,0,1,0,0,0,1,0,111.33316,0,0,0,111.33316,0,2,2,1,0,0,0,1.0,-1.6215,18.01075,0.0,44.007435,18.439579,0.0,32.897186,0,0.0,0.0,0.0,1.87804,23.862217,18.01075,0.0,0.0,0.0,0.0,18.439579,53.042408,33.68,0.90438145,3.0,1.8464394,4.1464396,111.33316,108.53392,13.566921,0,5.6825762,5.6825762,54.198967,22.058474,19.249496,74.102997,20,2,14,EXT22
